Menu/MLP_logo_file	ru/RUS_MLP_logo.png
BeachCove/MFL/COMP/BC_MFL_COMP_10_CS_HC_02	Секундочку. Это кто?
BeachCove/MFL/COMP/BC_MFL_COMP_11_CS_Paint Shop 3_01	Пони за бортом!
BeachCove/MFL/COMP/BC_MFL_COMP_12_CS_Sprout_02	Значит, мне пора.
BeachCove/MFL/COMP/BC_MFL_COMP_13_CS_SN_03	Зипп! Ты в порядке?
BeachCove/MFL/COMP/BC_MFL_COMP_14_CS_ZP_03	Бывало и лучше.
BeachCove/MFL/COMP/BC_MFL_COMP_15_CS_SN_04	Магия почему-то не помогла...
BeachCove/MFL/COMP/BC_MFL_COMP_16_CS_Crowd1_01	Да и откуда в Игогойском заливе пегасы!
BeachCove/MFL/COMP/BC_MFL_COMP_17_CS_Crowd2_01	Это дело рук единорога! Они опасны!
BeachCove/MFL/COMP/BC_MFL_COMP_18_CS_Sprout_03	 Хорошо, все идет по плану...
BeachCove/MFL/COMP/BC_MFL_COMP_19_CS_HC_03	Спраут? Это ты?
BeachCove/MFL/COMP/BC_MFL_COMP_20_CS_Sprout_04	Нет! Это не я! 
BeachCove/MFL/COMP/BC_MFL_COMP_21_CS_SN_05	 Я поймаю его!
BeachCove/MFL/COMP/BC_MFL_COMP_22_CS_Shimmerwing_01	
BeachCove/MFL/COMP/BC_MFL_COMP_23_GP_SN_06	Он идет к Загривному проспекту!
BeachCove/MFL/DECLINED/BC_MFL_DECLINED_01_CVS_SN_01	Мне кажется, я еще не готова.
BeachCove/MFL/DECLINED/BC_MFL_DECLINED_02_CVS_ZP_02	Ага, я тоже.
BeachCove/MFL/QUESTION/BC_MFL_QUESTION_01_CVS_ZP_01	Готова, Санни?
BeachCove/MFL/RETACPTD/BC_MFL_RETACPTD_01_CVS_SN_01	Постарайся на этот раз не падать!
BeachCove/MFL/RETDCLND/BC_MFL_RETDCLND_01_CVS_SN_01	Неа... На высоте страшно.
BeachCove/MFL/RETRY/BC_MFL_RETRY_01_CVS_ZP_01	Хочешь еще раз взлететь в небо?
BeachCove/MFL/START/BC_MFL_START_01_CVS_ZP_01	Добро пожаловать на финальную гонку, бла-бла-бла.
BeachCove/MFL/START/BC_MFL_START_02_CVS_ZP_02	Ты все равно не сможешь меня победить.
BeachCove/MFL/START/BC_MFL_START_03_CVS_ZP_03	Но если не упадешь в океан — испытание будет считаться пройденным.
BeachCove/Q13/ACCEPTED/BC_Q13_ACCEPTED_01_CVS_SN_01	Так точно, сэр!
BeachCove/Q13/ACCEPTED/BC_Q13_ACCEPTED_02_CVS_Zoom_04	Так держать!
BeachCove/Q13/COMP/BC_Q13_COMP_01_CVS_Zoom_06	Молодец, кадет! Вот твоя награда.
BeachCove/Q13/DECLINED/BC_Q13_DECLINED_01_CVS_SN_02	Мне нужно подготовиться...
BeachCove/Q13/DECLINED/BC_Q13_DECLINED_02_CVS_Zoom_05	Не медли!
BeachCove/Q13/POST_01/BC_Q13_POST_01_01_GP_Zoom_10	Надеюсь, ты летаешь лучше предыдущего... Он все время падал в океан.
BeachCove/Q13/QUESTION/BC_Q13_QUESTION_01_CVS_Zoom_03	Готова принять участие в этом высокоскоростном испытании?
BeachCove/Q13/RETACPTD/BC_Q13_RETACPTD_01_CVS_Zoom_08	По коням, детка!
BeachCove/Q13/RETDCLND/BC_Q13_RETDCLND_01_CVS_Zoom_09	Возвращайся, если захочешь почувствовать, что такое настоящая скорость.
BeachCove/Q13/RETRY/BC_Q13_RETRY_01_CVS_Zoom_07	Ах, ты вернулась. Хочешь повторить попытку?
BeachCove/Q13/START/BC_Q13_START_01_CVS_Zoom_01	Смотри-ка, кто пришел! Кадет Старскаут!
BeachCove/Q13/START/BC_Q13_START_02_CVS_Zoom_02	Это последняя полоса препятствий. Еще на один шаг ближе к новым высотам.
BeachCove/Q14/COMP/BC_Q14_COMP_01_GP_IZ_01	У тебя начинает неплохо получаться!
BeachCove/Q14/COMP/BC_Q14_COMP_02_GP_SN_01	Без тебя я бы не справилась, друг!
BeachCove/Q14/EV_01/BC_Q14_EV_01_01_GP_SN_01	Главный подозреваемый — пегас... У которого отпали крылья!
BeachCove/Q14/EV_02/BC_Q14_EV_02_01_GP_SN_01	На этот раз, мех розовый.
BeachCove/Q14/EV_03/BC_Q14_EV_03_01_GP_SN_01	А грива — фиолетовая.
BeachCove/Q14/EV_04/BC_Q14_EV_04_01_CVS_Sprout_01	Хорошо сработано, сыщик! Знаешь какого-нибудь пони, соответствующего этому описанию?
BeachCove/Q14/EV_04/BC_Q14_EV_04_02_CVS_SN_01	Возможно... Но один из свидетелей нашел эти парики.
BeachCove/Q14/EV_04/BC_Q14_EV_04_03_CVS_Sprout_02	О! Как мог я... ПРЕСТУПНИК потерять такое.
BeachCove/Q14/EV_04/BC_Q14_EV_04_04_CVS_Sprout_03	Как бы то ни было, хорошо сработано, сыщик Санни!
BeachCove/Q14/EV_04/BC_Q14_EV_04_05_CVS_Sprout_04	Я конфискую эти крылья. В качестве улики.
BeachCove/Q14/EV_04/BC_Q14_EV_04_06_CVS_SN_02	Думаю, я их оставлю у себя. На всякий случай.
BeachCove/Q14/EV_04/BC_Q14_EV_04_07_CVS_Sprout_05	Ага, хорошая идея. Хм... Продолжай в том же духе! Мы в опасности!
BeachCove/Q14/EV_05/BC_Q14_EV_05_01_GP_SN_03	Хм-м-м... Кажется, Спраут что-то скрывает.
BeachCove/Q14/EV_06/BC_Q14_EV_06_01_CVS_PP_01	Почему все пони сегодня такие раздражительные? Уф...
BeachCove/Q14/EV_06/BC_Q14_EV_06_02_CVS_SN_01	Спраут «считает», что это ты испортила фреску Зипп.
BeachCove/Q14/EV_06/BC_Q14_EV_06_03_CVS_PP_02	Что? Это абсурд! Я бы никогда не стала марать свои копытца.
BeachCove/Q14/EV_06/BC_Q14_EV_06_04_CVS_SN_02	Пожалуй, это крепкое алиби.
BeachCove/Q14/EV_06/BC_Q14_EV_06_05_CVS_SN_03	Давай постараемся не привлекать внимания, ладно?
BeachCove/Q14/EV_06/BC_Q14_EV_06_06_CVS_PP_03	Но я люблю это делать больше всего на свете! 
BeachCove/Q14/EV_06/BC_Q14_EV_06_07_CVS_IZ_01	Здесь такая пляжная погода! Что происходит?
BeachCove/Q14/EV_06/BC_Q14_EV_06_08_CVS_SN_04	Куча всего! Нужно пони-чинить кучу рекламных щитов!
BeachCove/Q14/EV_06/BC_Q14_EV_06_09_CS_IZ_02	Отлично! Тогда нам понадобится много краски — придется МНОГО красить!
BeachCove/Q14/EV_07/BC_Q14_EV_07_01_CVS_PaintShop 3_01	Хочешь краски? Конечно!
BeachCove/Q14/EV_07/BC_Q14_EV_07_02_CVS_PaintShop 3_02	Принеси мне прикольный надувной матрац, и краска твоя!
BeachCove/Q14/EV_07/BC_Q14_EV_07_03_CVS_SN_01	Прикольный надувной матрац. Не вопрос!
BeachCove/Q14/EV_08/BC_Q14_EV_08_01_CVS_RedFloatieGuy_01	Эй, ты не видела моего домашнего краба?
BeachCove/Q14/EV_08/BC_Q14_EV_08_02_CVS_RedFloatieGuy_02	Ее зовут Бабетта.
BeachCove/Q14/EV_08/BC_Q14_EV_08_03_CVS_SN_01	Если я ее найду, дашь мне свой надувной матрац?
BeachCove/Q14/EV_08/BC_Q14_EV_08_04_CVS_RedFloatieGuy_03	Конечно! Я его купил на случай, если придется искать мою милочку в воде!
BeachCove/Q14/EV_08/BC_Q14_EV_08_05_CVS_SN_02	Не переживай! Я ее найду!
BeachCove/Q14/EV_09/BC_Q14_EV_09_01_CVS_RedFloatieGuy_01	Бабетта, детка!! Ты вернулась!
BeachCove/Q14/EV_09/BC_Q14_EV_09_02_CVS_RedFloatieGuy_02	Большое спасибо! Как и обещал, держи.
BeachCove/Q14/EV_10/BC_Q14_EV_10_01_GP_SN_01	А теперь вернемся к пони, любящему знаки.
BeachCove/Q14/EV_11/BC_Q14_EV_11_01_GP_PaintShop 3_01	О, какой классный! Вот твоя краска.
BeachCove/Q14/EV_12/BC_Q14_EV_12_01_GP_SN_01	У нас на руках все подсказки! Вы шутите...
BeachCove/Q14/EV_13/BC_Q14_EV_13_01_GP_SN_01	Отлично! Вернемся к рекламному щиту.
BeachCove/Q14/MID_01/BC_Q14_MID_01_01_CVS_Sprout_01	Этого недостаточно. Найди ВСЕХ свидетелей.
BeachCove/Q14/MID_02/BC_Q14_MID_02_01_CVS_Sprout_01	Это ТОЧНО иностранный заговор.
BeachCove/Q14/MID_02/BC_Q14_MID_02_02_CVS_Sprout_02	Пегасы и единороги ЯВНО пытаются испортить нам праздник!
BeachCove/Q14/MID_02/BC_Q14_MID_02_03_CVS_SN_03	Это бессмысленно! Это мои друзья!
BeachCove/Q14/MID_02/BC_Q14_MID_02_04_CVS_Sprout_04	Может, твои друзья, Санни.
BeachCove/Q14/MID_02/BC_Q14_MID_02_05_CVS_SN_01	
BeachCove/Q14/MID_03/BC_Q14_MID_03_01_CVS_PaintShop 3_01	Уверен, что у кого-то из пони должен быть надувной матрац на пляже.
BeachCove/Q14/MID_04/BC_Q14_MID_04_01_CVS_RedFloatieGuy_01	В последний раз я ее видел у маленькой пещеры в конце пляжа.
BeachCove/Q14/MID_05/BC_Q14_MID_05_01_GP_IZ_01	Нам нужно много оранжевой краски и куча магии!
BeachCove/Q14/MID_06/BC_Q14_MID_06_01_GP_PP_01	Пипскики В ВОСТОРГЕ от моих фоток с Дня Игогойского залива!
BeachCove/Q14/POST_01/BC_Q14_POST_01_01_GP_PaintShop 3_01	Пегасы, уходите прочь... Грубовато, конечно, зато почерк превосходен!
BeachCove/Q14/POST_02/BC_Q14_POST_02_01_GP_RedFloatieGuy_01	Я больше никогда не отведу глаз от этих милых клешней!
BeachCove/Q14/POST_03/BC_Q14_POST_03_01_GP_Sprout_01	Рога и перья... Остерегайся их!
BeachCove/Q14/POST_04/BC_Q14_POST_04_01_GP_PP_01	Пипскики В ВОСТОРГЕ от моих фоток с Дня Игогойского залива!
BeachCove/Q14/POST_05/BC_Q14_POST_05_01_GP_IZ_01	Спраут обожает День Игогойского залива. Все эти крики в толпе — это так празднично!
BeachCove/Q14/PRE_01/BC_Q14_PRE_01_01_GP_PaintShop 3_01	Я, конечно, не против никаких пони... Но я обожаю рисовать знаки!
BeachCove/Q14/PRE_02/BC_Q14_PRE_02_01_GP_RedFloatieGuy_01	Бабетта! Где же ты!
BeachCove/Q14/PRE_03/BC_Q14_PRE_03_01_GP_PP_01	Санни!! Моим фанатам очень понравился парад, а от тебя у них копыта снесло!
BeachCove/Q14/START/BC_Q14_START_01_CVS_Thunder_01	Кто бы ни был преступником, мы с них глаз не спустим.
BeachCove/Q14/START/BC_Q14_START_02_CVS_Sprout_01	Но сами ПРЕСТУПНИКИ — единорог и пегас.
BeachCove/Q14/START/BC_Q14_START_03_CVS_Sprout_02	Может, ты будешь своих защищать, а?
BeachCove/Q14/START/BC_Q14_START_04_CVS_Thunder_02	Насколько я знаю, быть пегасом — это еще не преступление.
BeachCove/Q14/START/BC_Q14_START_05_CVS_Sprout_03	У нас все пегасы и единороги под подозрением, сэр.
BeachCove/Q14/START/BC_Q14_START_06_CVS_SN_01	В чем дело?
BeachCove/Q14/START/BC_Q14_START_07_CVS_Sprout_04	Еще один акт вандализма!
BeachCove/Q14/START/BC_Q14_START_08_CVS_Thunder_03	Фреска в летной академии варварски испорчена.
BeachCove/Q14/START/BC_Q14_START_09_CVS_SN_02	Понятно...
BeachCove/Q14/START/BC_Q14_START_10_CVS_Sprout_05	Да! Мы должны...
BeachCove/Q14/START/BC_Q14_START_11_CVS_SN_03	Найти свидетелей?
BeachCove/Q14/START/BC_Q14_START_12_CVS_Sprout_06	Именно.
BeachCove/Q14/START/BC_Q14_START_13_CVS_SN_04	Что ж... хорошо. Я поспрашиваю в округе.
BeachCove/Q14/TOOFAR/BC_Q14_TOOFAR_01_GP_SN_01	Не могу уйти, не пони-чинив рекламный щит Зипп!
BeachCove/Q15/COMP/BC_Q15_COMP_01_GP_HC_01	Задание выполнено, кадет! Это в знак благодарности.
BeachCove/Q15/MID_01/BC_Q15_MID_01_01_CVS_HC_01	Собери кроликов, Санни! Мы не можем ждать целый день!
BeachCove/Q15/POST_01/BC_Q15_POST_01_01_CVS_HC_01	Будь осторожнее. Ты можешь упасть в океан.
BeachCove/Q15/START/BC_Q15_START_01_CVS_HC_01	Санни! Та банда кроликов разбежалась по всей бухте.
BeachCove/Q15/START/BC_Q15_START_02_CVS_HC_02	Они скачут по взлетной полосе.
BeachCove/Q15/START/BC_Q15_START_03_CVS_HC_03	Сгони их оттуда и приведи их сюда, чтобы мы могли начать гонку.
BeachCove/Q15/TOOFAR/BC_Q15_TOOFAR_01_GP_HC_01	Санни, этим кроликам нужен пастух, помоги им выбраться оттуда.
MiniGames/DESCRIPTION_DASH	Летай в небе и повышай навыки
MiniGames/DESCRIPTION_FASHION_SHOW	Покажи как ты можешь танцевать!
MiniGames/DESCRIPTION_HERDING_BUNNIES	Помоги Хитчу с кроликами
MiniGames/DESCRIPTION_HERDING_CRABS	Помоги Хитчу с крабами и кроликами
MiniGames/DESCRIPTION_RUNNER	Догони Спраута с помощью друзей
MiniGames/MULTIPLAYER_CONTROLS	В режиме многопользовательской игры понадобится 2 контроллера Joy-Con™ для Nintendo Switch™
MiniGames/MULTIPLAYER_CONTROLS_INDICATION	Чтобы продолжить, нажмите на кнопку «Принять»
MiniGames/NEXT_ROUND	СЛЕДУЮЩИЙ РАУНД
MiniGames/PROGRESSION_EVALUATION_0	ХОРОШО
MiniGames/PROGRESSION_EVALUATION_1	КЛАСС
MiniGames/PROGRESSION_EVALUATION_2	ИДЕАЛЬНО
MiniGames/PROGRESSION_EVALUATION_EXTRA	БОНУС
MiniGames/PROGRESSION_EVALUATION_FAIL	ОЙ
MiniGames/PROGRESSION_EVALUATION_GO	ВПЕРЕД!
MiniGames/PROGRESSION_EVALUATION_GREAT	ОТЛИЧНО
MiniGames/TIMES_UP	ВРЕМЯ ВЫШЛО!
MiniGames/TITLE_DASH	Летная академия Зипп
MiniGames/TITLE_FASHION_SHOW	Танцевальный Пипп-пипп-парад!
MiniGames/TITLE_HERDING_BUNNIES	Тренировка Хитча по Пастушьим бегам за кроликами
MiniGames/TITLE_HERDING_CRABS	Пастушьи бега за кроликами и крабами
MiniGames/TITLE_RUNNER	Погоня за Спраутом на роликах
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_01_CS_Narrator_01	Хрустальный замок. Великий символ магии и дружбы, царящих в Эквестрии. 
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_01_CS_Narrator_01b	И пока среди единорогов, пегасов и земных пони царит гармония, его свет будет сиять в небе над Игогойским заливом.
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_02_CS_BH_01	
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_03_CS_Narrator_02	Но одна маленькая пони всегда будет готова всем нам помочь.
BrighthouseTuto/Q1/COMP/BHT_Q1_COMP_01_CGP_SN_01	Вот так лучше. Наряжена и готова к празднованию!
BrighthouseTuto/Q1/EV_02/BHT_Q1_EV_02_01_CS_Bunny_01	
BrighthouseTuto/Q1/EV_03/BHT_Q1_EV_03_02_GP_SN_01	Моя сумка! Ее взял тот кролик!
BrighthouseTuto/Q1/EV_04/BHT_Q1_EV_04_01_CGP_SN_01	Хитрый какой! Может, я смогу околдовать это растение земной магией...
BrighthouseTuto/Q1/EV_05/BHT_Q1_EV_05_01_CGP_SN_01	Ага! Только дойти бы туда.
BrighthouseTuto/Q1/TOOFAR/BHT_Q1_TOOFAR_01_CGP_SN_01	Моя сумка! Не могу уйти без нее... Надо вернуться и найти ее.
BrighthouseTuto/START/EV_01/BHT_START_EV_01_01_CS_SN_01	Я не сплю! Я не сплю!!
BrighthouseTuto/START/EV_01/BHT_START_EV_01_02_CS_SN_02	Минуточку... Где же все пони?
BrighthouseTuto/START/EV_01/BHT_START_EV_01_03_CS_SN_03	А! Сегодня же День Игогойского залива!!! И меня ждет Хитч!
BrighthouseTuto/START/EV_01/BHT_START_EV_01_04_CS_SN_04	Но что-то не так...
BrighthouseTuto/START/START/BHT_START_START_08_CS_SN_05	Он нет! Куда я опять дела сумку?
Brighthouse/BFLY/EV_01/BH_BFLY_EV_01_01_CVS_SN_01	???????????
Brighthouse/BFLY/EV_01/BH_BFLY_EV_01_02_CVS_SN_02	В чем дело?
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_04_CVS_Shimmerwing_01	
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_05_CVS_SN_04	Сверкающее крыло! Это ты!! Ух ты... Ты хоть и бабочка, но в тебе столько силы!
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_06_CVS_SN_05	Как это ты здесь застряла?
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_07_CVS_Shimmerwing_02	
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_08_CVS_SN_06	Прости! Я не понимаю язык бабочек...
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_09_CVS_Shimmerwing_03	
Brighthouse/BFLY/EV_03/BH_BFLY_EV_03_10_CGP_SN_07	Кажется, она хочет, чтобы я за ней последовала. Мне пора!
Brighthouse/INTRO/EV_01/BH_INTRO_EV_01_01_CS_SN_01	Ах, Хрустальный замок! До сих не могу поверить, что мы живем в таком волшебном месте!
Brighthouse/MH/ACCEPTED/BH_MH_ACCEPTED_01_CGP_HC_01	Отлично! Пришло время для кроликов!
Brighthouse/MH/COMP/BH_MH_COMP_01_CS_HC_01	Ух ты! Неплохо, Санни, очень даже неплохо!
Brighthouse/MH/COMP/BH_MH_COMP_02_CS_HC_02	В этом году соревнование наконец будет интересным.
Brighthouse/MH/COMP/BH_MH_COMP_03_CS_IZ_01	Прекрасно! Вперед, на Загривный проспект!
Brighthouse/MH/COMP/BH_MH_COMP_04_CS_HC_03	Да! Ну, сейчас я только уберу эти коробки
Brighthouse/MH/COMP/BH_MH_COMP_05_CS_HC_04	
Brighthouse/MH/COMP/BH_MH_COMP_06_CS_SN_01	Может, поможем ему?
Brighthouse/MH/COMP/BH_MH_COMP_07_CS_HC_05	Нет! Я их сюда поставил, я их и уберу... Ой!
Brighthouse/MH/COMP/BH_MH_COMP_08_CS_IZ_02	Кажется, он в порядке. Он справляется.
Brighthouse/MH/DECLINED/BH_MH_DECLINED_01_CVS_HC_01	Отказываешься, да? Ну что ж, приходи, когда захочешь попробовать.
Brighthouse/MH/QUESTION/BH_MH_QUESTION_01_CVS_HC_01	Готова стать пастухом кроликов?
Brighthouse/MH/REPACPTD/BH_MH_REPACPTD_01_CGP_SN_01	Я за!
Brighthouse/MH/REPDCLND/BH_MH_REPDCLND_01_CGP_SN_01	Хм, нет, не сейчас. Может, попозже?
Brighthouse/MH/REPEAT/BH_MH_REPEAT_01_CVS_HC_01	Опять за дело? Хочешь погонять кроликов?
Brighthouse/MH/START/BH_MH_START_01_CVS_HC_01	Добро пожаловать в официальный лагерь. Здесь мы готовим к Чемпионату по пастушьим навыкам!
Brighthouse/MH/START/BH_MH_START_02_CVS_HC_02	Цель проста: загони кроликов в ворота.
Brighthouse/MH/START/BH_MH_START_03_CVS_HC_03	Чем больше кроликов ты загонишь, тем больше очков получишь!
Brighthouse/MH/START/BH_MH_START_04_CVS_HC_04	Но помни! Ворота не стоят на месте!
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_01_CS_SN_01	День Игогойского залива... А вот и мы!
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_02_CS_IZ_01	А вот и мы!
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_03_CS_HC_01	А вот и мы!
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_04_CS_BH_01	
Brighthouse/Q1/COMP/BH_Q1_COMP_01_CVS_IZ_01	Спасибо, Санни! Благодаря тебе мост спасен!
Brighthouse/Q1/COMP/BH_Q1_COMP_02_CVS_IZ_02	Теперь ты в любое время можешь пони-чинить вот такие столы.
Brighthouse/Q1/COMP/BH_Q1_COMP_03_CVS_SN_01	Спасибо тебе! Я еще только учусь управлять магией...
Brighthouse/Q1/EV_01/BH_Q1_EV_01_01_GP_SN_01	Прекрасно! Осталось еще два!
Brighthouse/Q1/EV_02/BH_Q1_EV_02_01_GP_SN_01	Идеально! Остался еще один...
Brighthouse/Q1/EV_03/BH_Q1_EV_03_01_GP_SN_01	Это все! Пора отнести их обратно к Иззи.
Brighthouse/Q1/MID_01/BH_Q1_MID_01_01_GP_IZ_01	Если под рукой достаточно блесток и попурри, то пони-чинить можно что угодно!
Brighthouse/Q1/POST_01/BH_Q1_POST_01_01_CVS_IZ_01	Без магии все было гораздо сложнее!
Brighthouse/Q1/POST_01/BH_Q1_POST_01_02_CVS_IZ_02	А теперь, если под рукой есть немного клея и блесток, все возможно!
Brighthouse/Q1/POST_01/BH_Q1_POST_01_03_CVS_IZ_03	Можно даже сказать... Едино-можно!
Brighthouse/Q1/START/BH_Q1_START_01_CVS_IZ_01	Ты еще здесь?! Давай скорее. Нас ждет Игогойский залив!
Brighthouse/Q1/START/BH_Q1_START_02_CVS_SN_01	Знаю! Нам сюда, да?
Brighthouse/Q1/START/BH_Q1_START_03_CVS_IZ_02	Именно... Но мост сломан!
Brighthouse/Q1/START/BH_Q1_START_04_CVS_IZ_03	Мы можем починить его с помощью нашей силы единорогов — пони-чинящей магии!
Brighthouse/Q1/START/BH_Q1_START_05_CVS_IZ_04	Но я не помню, где мои инструменты...
Brighthouse/Q1/START/BH_Q1_START_06_CVS_IZ_05	Они наверняка где-то рядом. Поможешь мне найти их?
Brighthouse/Q1/START/BH_Q1_START_07_CVS_SN_02	Не вопрос!
Brighthouse/Q1/TOOFAR/BH_Q1_TOOFAR_01_GP_IZ_01	Так хочется на праздник! На День Игогойского залива! Давай закончим поскорее!
Brighthouse/Q2/COMP/BH_Q2_COMP_01_CGP_HC_01	Мы еще сделаем из тебя пастуха кроликов, верно, ребята?
Brighthouse/Q2/COMP/BH_Q2_COMP_02_CGP_Bunnies_01	
Brighthouse/Q2/EV_01/BH_Q2_EV_01_01_GP_SN_01	Мне пора на встречу с Хитчем. Он жутко пунктуальный, а я его заставляю ждать.
Brighthouse/Q2/EV_02/BH_Q2_EV_02_01_CVS_HC_01	Молодец, Санни. У тебя хорошие пастушьи навыки.
Brighthouse/Q2/EV_02/BH_Q2_EV_02_02_CVS_HC_02	Но они не будут готовы, пока ты их не покормишь!
Brighthouse/Q2/EV_02/BH_Q2_EV_02_03_CVS_HC_03	Найди несколько морковок и возвращайся, пока они не начали нервничать.
Brighthouse/Q2/EV_03/BH_Q2_EV_03_01_GP_SN_01	Прекрасно! Осталось еще две!
Brighthouse/Q2/EV_04/BH_Q2_EV_04_01_GP_SN_01	Идеально! Осталась еще одна...
Brighthouse/Q2/EV_05/BH_Q2_EV_05_01_GP_SN_01	И вот у тебя уже три! Пойдем обратно.
Brighthouse/Q2/MID_01/BH_Q2_MID_01_01_GP_HC_01	Кролики ускачут от тебя. Догони их и приведи ко мне.
Brighthouse/Q2/MID_02/BH_Q2_MID_02_01_GP_HC_01	Помнишь тот сад на холме? Там наверняка есть морковка.
Brighthouse/Q2/START/BH_Q2_START_01_CVS_HC_01	А вот и ты! Я тебя уже везде ищу!
Brighthouse/Q2/START/BH_Q2_START_02_CVS_HC_02	Ты же одна осталась!
Brighthouse/Q2/START/BH_Q2_START_03_CVS_SN_02	Осталась? В каком смысле?
Brighthouse/Q2/START/BH_Q2_START_04_CVS_HC_03	Еще не тренировала пастушьи навыки.
Brighthouse/Q2/START/BH_Q2_START_05_CVS_HC_04	Самая классная новая традиция в честь Дня Игогойского залива:
Brighthouse/Q2/START/BH_Q2_START_06_CVS_HC_05	Пастушьи бега за кроликами!
Brighthouse/Q2/START/BH_Q2_START_07_CVS_SN_03	А это... обязательно? Мне жалко кроликов...
Brighthouse/Q2/START/BH_Q2_START_08_CVS_HC_06	Кролики это обожают! Они сами так говорят!
Brighthouse/Q2/START/BH_Q2_START_09_CVS_Bunnies_01	
Brighthouse/Q2/START/BH_Q2_START_10_CVS_HC_07	Видишь?
Brighthouse/Q2/START/BH_Q2_START_11_CVS_SN_04	Ну ладно. Что нужно делать?
Brighthouse/Q2/START/BH_Q2_START_12_CVS_HC_08	Ну... Несколько кроликов ускакало на Загривный проспект.
Brighthouse/Q2/START/BH_Q2_START_14_CVS_HC_10	3 кролика еще не вернулись. Но они наверняка где-то поблизости.
Brighthouse/Q2/START/BH_Q2_START_15_CVS_HC_11	Их нужно поймать. Поможешь мне?
Brighthouse/Q2/START/BH_Q2_START_16_CVS_HC_12	Они попытаются ускакать, а ты их гони прямо сюда!
Brighthouse/Q2/START/BH_Q2_START_17_CVS_SN_05	Будет сделано! Уже бегу!
